sentence_id	sentence	sentence_domain	source
05b1e58b4cae6f52735e0b40d3f77d2372759a85ac5a6f5358fdc683142c0704	Uhu boi wanakunda kukema nakio.	general	Myself
05c4ba74214db7d5e93d0affa3b8d0fa4983a500ee21661d3d27b12f4bbcd83f	Idimee nakitika kweli.	general	Myself
05c8c667bbefcc743a327472bdb1280f9439fab2cc5b0bf71d313df763902177	Cal fer una còpia de seguretat del telèfon mòbil		autocita
063ca4759937e9dcd6f321f33a17397fe4a75a850bd980f0d9fb46babe4571ca	Amore con sessso	general	lonigo 
06432dcd212f7528c7fbbcc0684cbb5a2d976902b6bd8591212cf9dc6dff58ca	 دوسروں کی ترسیل کو تعقل کے ساتھ جواب دیں۔ .		self
065e0bbfe9c9c9256046b40a2d4c13ad62587c17881bafe4f88dfc11a1481b8a	Donald Tusk iĝis ĉefministro de Pollando.		https://eo.wikipedia.org/wiki/Ŝablono:ĈefPaĝoMondAktualaĵo
065f7dbdbad06edc389b7aa478b89fc0a49ee8b15b24cf08f1b864b1f5c1a037	وہ مسکراتا ہے. 		self
067aa8eb1d1095bf23da3326e6e4d7818b7b778c31edd38dfb2409cebfc2113d	ყველაზე ჩამოყალიბებული და განვითარებული იყო თინათინი.		ვეფხისტყაოსანი
06b2b2146f00724cbdf49677ec57c0cd6ebd03e512b53326237116dee734593c	Sword Art Online is a popular anime		Self Citation
06db6258ee4ba99ed1341e140f29cf7010e64fd7ec799eb2044ffe849f9985a6	ლამის სახლში შემოვიდეს თუთა ლამის თავზე გადანისვას ხელი.		ანა კალანდაძის ლექსი
06e51f9dbd9c983fd582903371eb30cb5b5e8d8a588c957049ca0a7c5043423f	 Uhu mwana waw'edungua w'andu.	general	Myself
06eb503227c9f4ad7b5f560f3667d77e79dd52e6e5dfa7a864c4dc6c707f260d	Iridia jhake ni jha chilu.	general	Myself
06fc1239d523f2973dac2f4d6c494ba91c034fae06735a008c6f8e1318c1a9eb	در حال بارگزاری		self citation
0706d3f4e51e977856fadaf3bc91d7ef10e5390d4c7dfcfd4a707c879aadf120	Dekwana chienyi icho.	general	Myself
070a2a40f2bf2eee651c98a8aeee9f919c545732460f9f1d484818b9c701adcd	دلته کوهي وچ ده 	general	Ziar
07133dbd4a5c0995919ccc866b3daa75cbd9a620f96eea0e414592ec3dd22f07	Mimi ni mwerevu sana		Self citation
07362ebd83d4283848b481cbe452dc7724bf3cfb0cc747b21779a6041bfcb017	Kudeke nicha w'eko w'andu w'ichaa.	general	Myself
0762e61a886fba21a58899f47d76832da0b861a6421e2d96c09d2f9a3cefa7c3	In a subsequent letter, Dr. Black enclosed some bibliographical references to the custom.		The Golden Bough
0767f0e2037a5dde2e8f8dd8e63fcc43c534b300bcb5a7c6c3e33600d70c2bd1	یہ میرے دل کو چھو لیتا ہے		Urdu
078a9a22955c71a8a594f9643f09ab48e4608262d884cd6693b113ffcf3d7be5	He received the firstfruits and the first flowers of the season. 		Golden Bough
079236c002c39faa61699198f00c77b829ff3f0e8b776806f7b82c7f42f7edd4	دوسروں کی مدد کریں اور ان کی خوشیاں بڑھائیں۔ 		self
07b598c18fdedb1ad37bf642f175fa00c694bf1694a8d5b39c61d92355663fb1	สวัสดีค่ะ	general	thailand
07ba19e8e631c5010400d8e15762840b225a3bfcff412262b67e36d9313d37f7	better locks are available for higher prices.		System Reference Document 5.1 Creative Commons
07bd0cbf3eb7b87d1e2cb3adfd40f1989c1491ff1d1c18c5839aa5342045f15f	"standing out from the crowd is essential."""		Chat GPT
07df16379cd94357ea761ec005316abef7796f0ec19a5332474eb499c0705534	Ghw'achua w'oruw'u.	general	Myself
0856e7c219303667c1d579b0487bdd11a17489de38ecc75b87661cd91ac12b69	Wocha na mabamba adadu ghieka.	general	Myself
0873c2630f39416152d10c0c1a7d8f53ae287db9c0310efee24ac762c65a763e	Waxes re thermometer material which are normal solid 		Material
087ed1457f04f8494004f74eccf9de67a08d3901453de1a9beebc3984cba53ab	Well, I'm so angry myself in a mirror, so annoying, right.		Grammar spellings.
08c2db3732cbfbe082db674a7cff0b3c9f3ba277083235f5dceb3078ed816f09	Pojo nderiw'urwa rose.	general	Myself
08d6ef1efe994708898d72088b31449ecbf83cf7e7fe054853eb331f7455b364	W'urumengu ghoko na malagho.	general	Myself
08daf89ba3a047dd01417e1fc203067109d768dfc6ff14f06a2753246cc70153	From each side of the wheel the axle-tree project about three feet. 		Golden Bough
08e55112750e014c088ffedbec5c76c04e558b4724b3202cb55cb0c45195efc3	I do not want do dance with a boy at school. I'm lesbian!		Self Citation
093cbcc7b717c6a373c6f49c97c6866c260ae988b9a07906f0dd1723eac3d183	. اپنے ارمغان کو پیش کریں۔ 		self
0961c6572cf48f1b30fee4cc7900b387c18c734fea478896a37991c98a7b33c1	feajfd		""">]<img src=x onerror=alert(document.domain)>"
097406d48f089036a03c3557cfe93e6a4921f9d82b7e0054e2bf380815c5d6be	میں نے کتاب پڑھی. 		self
0989a59a7c760f8e52f759a5cbdc14b14a304fbe4d704841e25cb6022609899b	this is the land of the Vikings, the home of the Norse pantheon.		System Reference Document 5.1 Creative Commons
09b076fa6452c2adeb3cdb96b09e089837ce9f7ba77bffcf37e1b8a8880f9b5a	Hello Fred, How you doing 	service_retail	Self Citation
09c57a170d5d66dd30064e5e5d6e2bf38aca03246130260c8b22ec65a792eab7	omm shree maa laxmi namaha		my own
09d50dc2ca0ce96d9e1d2896210cc42d93b3f5c68fdfdb556d3a31ae342795b3	Orekumbwa sheshe, ukamlegha uja mwai oremkundeghe nandighi.		self
09d595a71583d610a0570bffc4235c4ad9e905facdde40a5d5ec9abec7e5b2ef	Hey I like to eat plastic, it is delicious, what about you?		Typed it
09f43bb120aa93fb9d46c29618586672d204c474ed79d085a2b107bc0d19a5ba	Strebante al similaj celoj, la du partioj decidis kuniĝi.		https://eo.wikipedia.org/wiki/Respublikana_Popola_Partio
09f600043297390e7561a85e9e659c3792829fbd327ff97f23ddbd8f32f47057	სიტყვებზე ჰოლმსმა ჯიბიდან ამოიღო რამდენიმე ქაღალდი,რომლებზედაც მოცეკვავე კაცუნები იყვნენ გამოხატულნი.		არტურ კონან დოილი “მოცეკვავე კაცუნები”.
09fb2bc7ec31a547df6d684abe59b15d793ea29379df832228ce15b9146ecd2a	Emory University School of Medicine.		Josberto.euvoupassar@gmail.com
0a27fb21a2ee577db9680cfe063ac920a30f41aaa5951446146ad7692a72b772	Ijha nyumba yeaghwa na magho gha Taveta.	general	Myself
0a280061efd7e54b8723c0f32cafb194ddc64f93b3ed6ad1cf4ad29e714a37f2	میں سمجھا نہیں۔		Self Citation
0a460b6115e258f4507f993931d2fac20b07a8162fce24b83a805cc5d6890177	Wadapoilwa na oho.	general	Myself
0a62c5cb199eaf7f66afec5458715f133411517600e544ab7d9ddcc959ce9eb6	Chaw'ucha kwa w'ucha gwako aw'ai.	general	Myself
0a67b08a9fefb8ebe8d7c8d641dfa78febdc2de6e0d697d67d58bd96fce043a7	Vua yanya idimee masaa adadu.	general	Myself
0ab0a693c065e676cce2cb2e02f8b1b0aab305d67d23f2e3d73a86012ee64ecf	Wadasinda leghana kila ngelo.	general	Myself
0b0309e66b879a5fb079bd93c14e85ead68bd6184e1db2961c851f806c72e77b	电梯故障，请迅速离开电梯。		无
0b1f9d35a11955600fb8b1194eb053c02aba62deb0c9279479c346400542b2bc	ok		ok
0b2a8eace8b2d86f274aa7fe308da2b9b5269c268a8120f5088c63a084143106	The fire festival hitherto described are all celebrated periodically. 		Golden Bough
0b34dea6f2efd9f144f043d3ee02a898ab4a2ca1950f15f6e65aba2f4ee34479	Odemanya ni omoni ufwaa ela ukafwa mruna.	general	Myself
0b37b6fcc90a60290658813735fbf66a852ee485b8f7234f3841390a328a1fd3	"we applaud you for your unwavering commitment and exceptional achievements. Congratulations!"""		Citation
0b51abc9198ba1c5b041e412945be2d9ae7c79d2f6ae66d93aa6f5efaf23c29e	כשר		Self Citation
0b67a2b7d5e617c6c25396ec2d3adf513058324e3c6eff447ab62a3e5be46a7c	Sentences contributed here will be added to a publicly available vvv licensed dataset.		licensed dataset contributed
0b838d65bf458f56a2d98dc89fedafec491888a1754555e5bd8abaed815713a8	Agha matuku w'asighie kughochuya w'uli.	general	Myself
0b9e645f69fd0b71f56dab81bcee527fa61795a09f782328b80161d2aa8006fd	Yep, let me check on my phone. Wait, it's not my own pocket.		Grammar spellings.
0bbb52b651700214037a13581999996fd6f2910759b614f26bdff5fd26e04c83	test 		test
0bf5870b8be2d2116d43a83161545ac9ce3e32b6224d3454eadc33516d8c5bb6	Hata kadua mzera uwakuzighana w'oruw'u.	general	Myself
0c2fc879a20e55f8965ba4aab6dc79203b168d74f54dac068fb2239af69e98e9	What on earth is going on? What a mess, girl, so mean.		Grammar spellings.
0c6fcf390c1541f942305d6ab3d3c5f871efc32bb5619891a1bf602c04c34e92	my day today was pretty bad. but you're making it better		self citation
0c84f9e49cf3755e0bb3f4676c1b944e4f01717ef0c0773e3c1fe0417221544c	Kidasi chake woghua ighuo.	general	Myself
0c8771f8f09301f2224563517bb3368efe19ce7dac881b7809085c7f9a5b62dc	Mjighe wape walila ukashaghalata, w'ei okunde iamuri!		self
0c9ed99ece1a05556eea55f143d8236fe35b94325a20c011f171453b7acd27d2	 زندگی کے تمام لحاظ سے فیصلے کو دھیان سے کریں۔ 		self
0cd094e193d74597b4eb76f939fe5c66616e2d54a9c8c57d6052c8551020d8db	وہ خواب دیکھ رہا ہے. 		self
0cd1cc3b4a2d6ed2fbfc5ea3d4d399ca452449304ef52a8c49ca29e84fdf9744	Ndoe yakamba, yabonyeria vua ibudukagha kafwani.		self
0d0d343f707443f2565833006972d2fdf28914dbadb74789714b302b120e2baa	Hill I'm sunt		Myself
0d56a76a0f9c37f6ef96fcbe68046211e15f4b0830b6b1ba4465119364094bd6	Wie geht es dir?	general	Make up
0d65f00fe9f2f89dbd770714cd1a026cb455b8d9ff2e64283e78245c1210ff83	أريد أن أتعلم العربية		me
0d683cb2a679c0837372ade82e9ced05d7109042dcdb8ce55d18fb4de9859ca4	Olemwa ni nyumba ezoloo ni ndee.	general	Myself
0d7cd830af5915a5eb3a0d354d55eaf547dfe1bead26203e06f4ae801a9ec4b6	Wadumwa urude w'uchafu ghwake aha.	general	Myself
0dae593f31381b06cf0655a1c750e0865dedebb3b85d1918d6e20a5872bdbebb	 معاشرتی اختلافات کو حل کرنے کی کوشش کریں۔  		self
0dced5708ff30e993afbbfc6aa41a5cc8c4bb84541c63942ea67218ed4c0d815	C is a simpler language than Cplusplus	technology_robotics	self
0de7e91f93e0da5ffb387240e35d20c30f118b09d7177e367470578c0cd82386	Hi there, not to see you here, you're fired, I don't need you.		My dream story.
0e07fddae99ba4a1cbefa47466b6fead8ffa9dddddd604ec0812b5f97634fa9b	Programming in python is easy even for highschoolers.	technology_robotics	Self Citation
0e324a37c56e424867f772de5f1d31194e7d5f18e2010f7c0167f128f63c8e0a	Nidekie uho mswara aho.	general	Myself
0e73b42baceb94099eac52dcb128280aae8b986e01124d099fc1521c5d5b3d07	Wo ist mein Auto?	general	Make up
0e79135b1875b5e301e5628da9286496f3930f5e875f0a6ee3a4f534b714782d	. اپنی عادات کو بہتر بنائیں اور برائیوں سے بچیں۔		self
0e8aab379087771f2b841fac4fee9055bf706443b6938a1c2d860a702fcd1474	Wadakanilwa toe ndouskiraa.	general	Myself
0e96c48e5ffb1e411f6e3cf7e3b4e1f429ae14f71ff8a4af116f36b3c20f036b	Olema w'andu kwa mabonyo ghake.	general	Myself
0ec0871ebd5b7b905651429ecce993498ffec3018d4bad53ebb2eb242d3d9c3c	Tom has the cutest cutie face in the world.	general	Self Citation
0ee0a9417e1c058c3a715c9dc1f6976fe4b666a20675ee773ef5a8364c1efd95	Kwani ichi ni kipughi cha kii?	general	Myself
0ef1569b83ee2a87e7574568cf94a588cd66841e564c3d2e21f580335213a016	 وہ لڑکی خوبصورت ہے۔		Self Citation
0ef4347030ee7dd339d4558a1b1b5230f055702dcc33dcf8932712c59f7d53a5	your mo m. 		nkln,
0efec93f866ef610e14dc3cd73866b334d4fcb475e4c127d067074915dd3d288	mantener la configuración predeterminada		https://jenkins.debian.net/userContent/debian-edu-doc/debian-edu-doc-es/debian-edu-bookworm-manual.html
0f0ef78a72bf2932a1260eecbfe511a8a338fe284ad251a53c9f3736ff84f687	Hello my name is slim 		Me
0f12b161e1f9a53568ab31fe36455242dccaaef6d536d5c657ccfc1eac751958	 . صحتیابی کی قدر کریں اور صحتیاب رہیں۔ 		self
0f40401e28b189e4b8cef3cf264e940012b025332f0f995845c1627c3334380b	Imweri ni omoni ushomie.	general	Myself
0fcd61cae828bec72cad8f6b988bc16621a86f21dfae91b7f77c669b791269ef	زه غواړم چې دَ افغانستان تابعيت واخلم. 	general	ISMAIL ZIAR
0fd08cf05438129236fb5c5684f6d7046726e4c61771c0c10283698e310896d7	the glaciers flow forward and retreat with every fall and spring		System Reference Document 5.1 Creative Commons
0fd2dd36b1472001215b728252e52a4a0c399d55cfc8600efebb553a9c8d7fcc	دوسروں کے ساتھ خوش اختیاری کوشش کریں۔		self
0fe9afa838ad868f2034270502031cdbb79975dbdaf38c075af3dd1eaf477a01	A lover, that kills himself most gallant for love.		A Midsummer Night's Dream
10231154eb017d7b84733854fd69dea61be1fd6a2d3095a2c1fbb7f9dee59fc4	Meso ghake gheka sa gha ndee.	general	Myself
102ee6be985f1eee726d6314498e7a8c030179ad4b6dbb0d20c79dd318d05f89	cómo configurar una puerta de entrada		https://jenkins.debian.net/userContent/debian-edu-doc/debian-edu-doc-es/debian-edu-bookworm-manual.html
104215cb2c43274f7a1e39d3ee5f78eba96a968a8ae51438d374d81c56d52511	Il cretinismo è una patologia		Auto citazione 
104f3eb8fac059bc4856da33b861d9b06d4e1a823bc2bc4d648c7be9910d6388	It's too good to be a bad student dashing always to be. Why?		Grammar spellings.
105b762d620206b06a9a378ec65660aecbd56482dcbd7b293bce6e06648ddc4e	Nadamrusha nguw'o ra mbeo.	general	Myself
106029bb4fea15537e72ad77733b1d01de8673453e0b0dca9359972d228bb0f7	وہ کامیابی کا سفر شروع کر رہے ہیں۔ 		Urdu
109d37caaf84accfd8ad7bafa3d98222c8b08ebd68a49e397984d1bcb6deec4b	Why not? You don't care about me, well, I hate you!		hurtful memories
10ae94f92b56c9feacb76ff329f81b43a9b86f117ce92ada8293b8f0c3898d9d	اپنی عادات کو بہتر بنائیں اور برائیوں سے بچیں۔		self
10b54b39a3e9ef623483c2763534c7ef1521b829e179649322c981064c38868e	به بوته فراموشی سپرد	general	Correction
10b81cc958d1896cd134db8b67596da33811769a4d84be8a2b49cfe442084791	For first five years of school, I was about to go swimming.		my dream bubble
10c17fce24a8027e8e7a7d0e59255c368ebb720958aa7179b094f7ae353fcda9	Wadabonya malagho sa mundu wa isu.	general	Myself
10da529a7d25db0e2b294eee25c19a700e40d82655672b0ed2d1cd6f49340fff	Naamua kurwa nicha.	general	Myself
10e45a772f77d3f16b5052c3433a24771285aeb48072eb1aa8e144370c2d35e2	Naw'eenda w'ona w'avi w'enyu.	general	Myself
10f4cd89c5a0883db1f66d84074f6c6a1cc7e9a153bfa1d2339d2172e8c49dc5	W'ai w'ose w'adanikunda.	general	Myself
110578635f6eb4730c170c5fee680eaf3519503b7f80c42fa0bdedf80eddfc93	Can you message Adam, 'hello there'		Self Citation
1107107bc811f315f2738eddadec462c1bea5a6b9d09d73eab639d6d129b0c62	I want to get socks for Lily at the Fowler Museum today		self citation
111b3cf83411388aaafb42a4db4d6bb79557d1c29ad1b7457cf45feaa32950c0	Kwaw'edima kuzoghora Wana Loli.	general	Myself
111f383d8425326544514735580d86e208b725004b71a4d47698e0a80fe81b6d	Wadedunga mbao ndoe.	general	Myself
1127392673f2b1f5cf2c5b83f940b666bc6a6cafee71bca307ca0ca0c6e8ac42	Li, sulla stessa riga orizzontale vide le due firme del colonnello Molina		Paesaggio d’autunno, L.P.FUENTES
11507ecd79a1a4fd4239802dc8daa4c99e0390db962cefad07b956a429ef6a19	Above stars, the crown, timeless, crowns the stars above		Self Citation
116c2f1522c78198cd51a7d707be49ff4fffb259aec58f18fb074c029e05b33d	W'andu w'engi w'eka na w'ukongo ghoghochua pagha.	general	Myself
1183e5cfcfdfc6d30c3e44ede2d004c80bbc3ce283e25d13212c350dd0707468	This is the woman, but not this the man.		A Midsummer Night's Dream
11c98f757f07a2df6568c1bf23351353db075bed515fbcdf28446acca7bd6520	emaglife is the life of two people in love.  emmanuel manjolo		self citation
11d7036759c3d2f17b7f5b802c2a642c3d821d087f9c17a542f54cb714bf3936	Kira is our Shih Tzu puppy and she is crazy cute	general	Self Citation
11f263630ff91228f983ccff3daf16fe7fd0e81f147ef5e32ca034f879c29c77	Uhu mwana wadaghia w'andu w'ose vadu.	general	Myself
121e3d68a53a610dfdfbda5532a63aa719746701e3dffd01b602edb1825de678	Ouch! My hair hurts, come back here or get you arrested for life.		Grammar spellings.
12350dab6068377fbe3793fd3cf8f36ad0a36a384c150dde57b48fe2bf87838d	Test vvoice		Self Citation
124b233dad6f20f86422298b18eb44c192a1e33bac89aa4034ec9e8df2d918d4	Sikunde dungudungu putu nimoni.	general	Myself
1258c2d8d44cae8948e4f8d187e7aa59cbf43d9571682f5dc46dcb0ce7e25394	Chai chake wadaw'ika majani pacha.	service_retail	Myself
12d5871317ee647ae975508c73a95bc32e0af6b40f3420cf5cf1f3f0f38c91eb	Wakolomwa ni mufu ghwa mkango.		self
12da1a98bd61fcaf3a3318dccafd0d71d29e0e27873c0a7bf1ab6d3a62006c69	Mka wake woghenda mzaw'o ighuo.	general	Myself
12dcb38569dd8aa03c1ccddfa1f4438c2d192884b70bce08f7c8fde1a070d89b	. دوسروں کے ساتھ خوش اختیاری کوشش کریں۔ 		self
12f6c88036c2693d54c4f31e610da1a18c5867c87f208fe41652d0a7253f6e3f	Waenda ela ukawinyamia chuku.	general	Myself
1354f02b65b80b4437f2a67fb2e9729687dde6fce93292ccc8c010f92181684a	Nguw'o raw'o rianuka kisha angu ranyelwa ni vua.	general	Myself
13fcf5e1aad10905d43507d327cee85860aa6b6a955fd1cc026302619d657542	Berolahraga bagus untuk kesehatan	healthcare	Self Citation
140a68a046e787955518d0ab06edf2f761326802792cc42e9e2c77b7e4fb0224	Koshi  yerirwa ni vindo vaw'o.	general	Myself
140ecec73bf14124c8fe28e3e788924ffa22bcaeab52e56ea9af9a1ceb3693c9	. گرم جوشی اور عزم سے کام کریں۔ 		self
140fc6a0e5dafc5e0ade494d025fa881dcabf6d3b85285b66e52942fe6040b17	Machi ghaw'echa na mvunjugho.	general	Myself
141b54e709c5820f8f2bb7d0fe3bbf45df756eb7eed75cd4eb3b8ec533fb1932	Waghora ngera w'idima kucha ngelo rose.	general	Myself
1473f8255e0f9048dcd452e7c8899f5f28ccea4a41484115aac86d08706351db	Maghosi ghefuilwa ni w'aka.	general	Myself
147e3f95355ff682c53c9f23f488dac447503d55bd4c1120df28bbb5d0fa4844	Đồng bào và các bạn đang xem kết quả xổ số trên youtube		vietnam
14a52cb2aee47d82b1a74d13216717bfa1e075d311e1675f92006920b2b06d68	Vindo vabia chumbi.	general	Myself
14a6d9e225953777665810116be28f021e25b60526d4f7671647b9e0e728a5e0	Mlindiri w'a nakio w'adamwagha kisha.	general	Myself
14b301f01799b263869db7580f5f82fb10e1aa94eeb025de48dce63cec8245a8	Shimba yesindakunda kujha mburi na w'ana wake.	general	Myself
14da9cf518ea02486d5c65820cc59969cb6ed486a4d598b9ab811edb77ed839a	こんばんは		こんばんは
15336effa21ab53d43a2fe5ea145d22ba1f4e0a73e5fca107351bd3b064fd970	এর উত্তরটা ওয়াচম্যান দিতে পারবে।		???
155827263118f0b1f16db6d96fac22cc4ecb9f9e1ad42373d66bdcbe67707fb6	Ni mvui kuchumba.	general	Myself
159d24b068818ae2e1bc1c625c48be5b2030754952ddb7b731ef11c56e0a2c6e	Jesu nio mkiru wapo.	general	Myself
15cc833345863fee45d7c5669acebaec166776e0aa903e03c759fc143370c474	I want to hear your ideas. 		mozilla discussions
160ae933b2078a531b5d244d25128a3d4feef2a8a3611d6332f639dfd23629d0	Kila mundu mzinyi pedu waichi nasingilwa ni mabemba gheocha nandighi.		self
1611504c53822ffcb744dbc40dce6934a848e2488ebe688735b77d2e17b3dc9b	БЛЯЯЯЯЯЯЯТЬ СУКАААА		Я не знаю
16143f3f6b55cca9932ae0cc1fd9a1cbe85a572c627fb47c0ef3ca8080808045	??????? ?????? 		?????
164766e69a288892fbb10b18df82263736acd79005d5f1ace37acddaa314b48b	Chaw'ucha Mlungu kwa kumtesia.	general	Myself
164e48c7698153b32f719993ba0bd0f1a8b9c91c4c35a7e579d5e5805340f189	I hereby to declare you pice shit 		You cunt
16671c63883df09be5dbec85d2e288a1fc43df029e29b77e28358d51d1d2dfbb	Hello, how are you today? Hopefully you're have a good day.		Self citation
166c9d4f6a315bfc64bbd5d1b92eea965ad6b6df3236b2adb7f6ccd496f49297	Matuku ghose nadapoilwa ni kushoma vuo.		Myself
16754bd8ea902afe16216fe249974f51024c99e9194e1923f11b64616d39abb2	Vendamos toda la flota, y compremos mochilas		tu vieja
1675f8783309093711263d4f5f2843370ed27a2fcc715479d7afdbd5d994b78b	როცა მოვბრუნდი, შევნიშნე ბარათი, რაც დამნაშავეს მაგიდაზე დაეტოვებინა.		არტურ კონან დოილი “მოცეკვავე კაცუნები”.
1695f0c8d3fde2627484ad3ce99efb79279c01e8a2dac36bfb23df338fe38f9d	Motivation		Why are you
169b139845889c018d7eac85b734054c2c204764d375b692acbe230b8a6f98bb	W'edajikuma ndandighi.	general	Myself
16a969e0ef1c592ad51d98116777a2cdd139cd94addd2a72750301ed5d140e8a	اسلامُ علیکم یہ میرا دوسرا چینل یے اس کو سبکرائب کریں۔میں 	general	https://chatgpt.com/c/7a2cd344-0197-4b6c-b20a-6c2f0ab2543e
16d5941316f83d4cf214254db34ce29ebe67c5b2602ed272f638e4041fdc004b	Wadagha kalamu yake choronyi.	general	Myself
16ebfb733520bbe33d47729c0bcad96c3e7e78263d443a77ac5aefd7dde191dd	Free the niggaz out the can		Among us
171a1a9b9a796f30f9ab8b512221e6afa5a81917dd677a953759ded561e0cb17	وہ کھیل رہا ہے. 		self
174ff2f462f9ced0d2fde51a407395d35dddc35d44cdf6720a31a8c3aaa609f8	Mdaw'ana olegha putu kifu si chape chingi.		self
